class,feature,mean_abs_shap,rank
Stains,Steel_Plate_Thickness,1.0711393,1
Stains,Pixels_Areas,0.7626878,2
Stains,LogOfAreas,0.67729086,3
Stains,Luminosity_Index,0.63402873,4
Stains,Y_Perimeter,0.4374657,5
Stains,Log_Y_Index,0.40721655,6
Stains,SigmoidOfAreas,0.33991835,7
Stains,Sum_of_Luminosity,0.31142792,8
Stains,Length_of_Conveyer,0.22451206,9
Stains,Edges_Index,0.18561922,10
Stains,Orientation_Index,0.13933294,11
Stains,Empty_Index,0.11011163,12
Stains,Edges_X_Index,0.0954118,13
Stains,Y_Minimum,0.0939409,14
Stains,Minimum_of_Luminosity,0.09266142,15
Stains,X_Maximum,0.08626156,16
Stains,X_Minimum,0.08317574,17
Stains,Maximum_of_Luminosity,0.075604625,18
Stains,TypeOfSteel_A300,0.07420015,19
Stains,Y_Maximum,0.06448537,20
Stains,Outside_X_Index,0.05682788,21
Stains,X_Perimeter,0.056061428,22
Stains,Log_X_Index,0.045723364,23
Stains,Square_Index,0.04262074,24
Stains,Outside_Global_Index,0.033151336,25
Stains,TypeOfSteel_A400,0.018496279,26
Stains,Edges_Y_Index,0.014757115,27
Z_Scratch,Length_of_Conveyer,1.0776992,1
Z_Scratch,Steel_Plate_Thickness,1.035822,2
Z_Scratch,TypeOfSteel_A300,0.23668528,3
Z_Scratch,Empty_Index,0.21674417,4
Z_Scratch,X_Maximum,0.20068142,5
Z_Scratch,Minimum_of_Luminosity,0.16890916,6
Z_Scratch,Edges_Index,0.1600918,7
Z_Scratch,Outside_X_Index,0.1575298,8
Z_Scratch,Luminosity_Index,0.13427913,9
Z_Scratch,Maximum_of_Luminosity,0.1234109,10
Z_Scratch,Edges_Y_Index,0.11937396,11
Z_Scratch,TypeOfSteel_A400,0.11929588,12
Z_Scratch,Sum_of_Luminosity,0.117936954,13
Z_Scratch,X_Minimum,0.114510655,14
Z_Scratch,Orientation_Index,0.1137537,15
Z_Scratch,Square_Index,0.08406733,16
Z_Scratch,Edges_X_Index,0.0808573,17
Z_Scratch,Y_Perimeter,0.07496617,18
Z_Scratch,SigmoidOfAreas,0.06938704,19
Z_Scratch,X_Perimeter,0.069290236,20
Z_Scratch,Log_X_Index,0.068583444,21
Z_Scratch,LogOfAreas,0.06042691,22
Z_Scratch,Y_Minimum,0.052179724,23
Z_Scratch,Pixels_Areas,0.05045074,24
Z_Scratch,Y_Maximum,0.04673606,25
Z_Scratch,Log_Y_Index,0.04409826,26
Z_Scratch,Outside_Global_Index,0.004070833,27
