metric,baseline_xgboost,weighted_xgboost,difference
accuracy,0.5966630395357272,0.5705476967718535,-0.026115342763873728
macro_precision,0.5938603716750604,0.5375266473861353,-0.056333724288925136
macro_recall,0.537917030916706,0.6124392764741107,0.07452224555740472
macro_f1,0.5496096337417808,0.565609627744566,0.01599999400278518
weighted_f1,0.5857692740321144,0.5667104281313071,-0.01905884590080731
