,Bumps,Dirtiness,K_Scatch,Other_Faults,Pastry,Stains,Z_Scratch
Bumps,416,19,4,164,76,5,30
Dirtiness,11,28,0,17,14,2,1
K_Scatch,4,2,474,28,2,0,1
Other_Faults,293,37,51,364,142,21,73
Pastry,39,11,1,68,88,1,12
Stains,7,0,0,3,0,75,0
Z_Scratch,13,2,3,22,5,0,128
