,Bumps,Dirtiness,K_Scatch,Other_Faults,Pastry,Stains,Z_Scratch
Bumps,357,0,4,326,7,1,19
Dirtiness,6,2,2,57,5,0,1
K_Scatch,7,0,465,37,0,2,0
Other_Faults,276,1,49,583,26,14,32
Pastry,55,0,1,122,31,1,10
Stains,2,0,0,22,0,60,1
Z_Scratch,28,0,2,66,1,0,76
