,Bumps,Dirtiness,K_Scatch,Other_Faults,Pastry,Stains,Z_Scratch
Bumps,375,2,4,298,15,1,19
Dirtiness,12,12,0,41,6,1,1
K_Scatch,2,1,470,38,0,0,0
Other_Faults,254,8,45,577,39,15,43
Pastry,41,3,1,135,33,0,7
Stains,6,0,0,14,0,65,0
Z_Scratch,11,0,2,45,2,0,113
