feature,importance
Outside_X_Index,0.06268213658200789
Pixels_Areas,0.05974213258871477
Log_X_Index,0.05774069620444423
LogOfAreas,0.05468128041134322
X_Perimeter,0.0482494030706533
Sum_of_Luminosity,0.04578834053320794
SigmoidOfAreas,0.043617798362252214
Length_of_Conveyer,0.042864738843509886
Minimum_of_Luminosity,0.042449518123646085
X_Minimum,0.04152833491716742
X_Maximum,0.03969542403793391
Empty_Index,0.038806345353670085
Edges_Index,0.038702400614088146
Luminosity_Index,0.03860186879175432
Orientation_Index,0.037743024234351635
Steel_Plate_Thickness,0.036490748481713624
Edges_X_Index,0.03409312909775283
Y_Perimeter,0.033453088436916426
Y_Maximum,0.03339329360380732
Square_Index,0.033179749835518337
Y_Minimum,0.03315459836251017
Log_Y_Index,0.029757277494815243
Maximum_of_Luminosity,0.026995955521411166
Edges_Y_Index,0.026971441483258637
TypeOfSteel_A300,0.008194101591061884
TypeOfSteel_A400,0.0077331747405465865
Outside_Global_Index,0.0036899986819427556
