,Bumps,Dirtiness,K_Scatch,Other_Faults,Pastry,Stains,Z_Scratch
Bumps,364,1,6,318,9,1,15
Dirtiness,10,8,1,50,3,1,0
K_Scatch,3,1,470,37,0,0,0
Other_Faults,227,7,45,628,25,17,32
Pastry,40,1,1,141,28,0,9
Stains,4,0,1,17,0,63,0
Z_Scratch,18,0,2,61,1,0,91
