mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
3.3900652726491294,0.00914872825947998,0.023128986358642578,0.0001522150302147522,0.8,2.0,0.3,350,1,6,0.05,0.7,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.3, 'n_estimators': 350, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",0.5787585348578775,0.5775890383450523,0.5672709785541759,0.5745395172523685,0.005161761432477692,1,0.8799312093533028,0.8749172113497459,0.8821608174619867,0.8790030793883452,0.003029139184786385
2.644557078679403,0.008439677725366504,0.02180329958597819,1.4743875528319812e-05,0.7,1.0,0.05,250,5,7,0.08,0.7,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.08, 'colsample_bytree': 0.7}",0.5825394193767598,0.5712083860071746,0.5595578145815069,0.5711018733218137,0.009382503164770935,2,0.9074072045390177,0.8975160589434054,0.9107329720972402,0.9052187451932211,0.005613300518123999
3.3550260066986084,0.012029843967074723,0.023507356643676758,0.00020819862888344883,0.9,2.0,0.0,350,3,6,0.05,0.9,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.5741416569619311,0.5745143904712305,0.5610130177884812,0.5698896884072143,0.0062785982258435,3,0.855831560483541,0.8467239255373568,0.8550209805921317,0.8525254888710099,0.004115650031759272
5.176807324091594,0.04705061939381074,0.03666957219441732,0.0019602546909911886,0.9,2.0,0.0,550,3,6,0.05,0.8,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 550, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.5771379972441061,0.5778355270953303,0.5527090294448922,0.5692275179281095,0.011683805980957133,4,0.9280773868185734,0.9237871700347845,0.9326391511331995,0.9281679026621857,0.003614372899054808
2.740033229192098,0.0028239823275975477,0.021258115768432617,0.00021902385629758096,0.9,5.0,0.0,250,5,7,0.05,0.9,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.5696271181176508,0.5743240057456932,0.5634235118044445,0.5691248785559294,0.004464256225757238,5,0.813259843361975,0.8093377931150704,0.8216123129191606,0.8147366497987353,0.005118702768214705
3.354548613230387,0.014640720262036026,0.023201783498128254,8.134286925412736e-05,0.9,1.0,0.1,350,3,6,0.08,1.0,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",0.5795663695970299,0.5700020004256683,0.5556995501585241,0.5684226400604074,0.009807379938939754,6,0.9465046471487352,0.9445992629053391,0.9483445187789128,0.9464828096109956,0.0015290722782514007
4.484947045644124,0.01857229588062493,0.02903858820597331,0.00013312531915226717,0.7,5.0,0.3,450,1,6,0.1,0.9,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.3, 'n_estimators': 450, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",0.5756945814256255,0.5695311555884106,0.5566145826695222,0.567280106561186,0.00795034608996998,7,0.9870297287106998,0.9873333373669274,0.9844644936813641,0.9862758532529972,0.0012868079829158473
5.001147747039795,0.08135474204645246,0.03223403294881185,0.0008247544433769126,0.9,0.5,0.0,450,3,6,0.08,0.9,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.0, 'n_estimators': 450, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.5768302789978476,0.5681317199888339,0.5530681030260922,0.5660100340042579,0.009816191226438982,8,0.9770405355814146,0.9780817446135891,0.9760045057235676,0.977042261972857,0.0008480301043693503
4.1129757563273115,0.0634349088727862,0.024544159571329754,9.668950436239233e-05,0.8,1.0,0.05,450,1,5,0.03,0.7,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 450, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",0.565707031183148,0.574683623244041,0.5559260926204724,0.5654389156825538,0.007660076292691093,9,0.769009253192549,0.7637412685276637,0.7689319882311575,0.7672275033171233,0.0024653420619992574
2.2837039629618325,0.001716909894450351,0.01378941535949707,5.402412788376968e-05,0.9,1.0,0.1,350,3,4,0.08,1.0,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 350, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.08, 'colsample_bytree': 1.0}",0.5640268666923715,0.5719007412582809,0.5566376963399445,0.5641884347635323,0.006232159241975059,10,0.7829634669112568,0.7802546105245114,0.7856958631895508,0.782971313541773,0.002221389027674252
