,Bumps,Dirtiness,K_Scatch,Other_Faults,Pastry,Stains,Z_Scratch
Bumps,419,23,5,147,83,5,32
Dirtiness,11,33,0,15,10,2,2
K_Scatch,7,1,477,23,2,0,1
Other_Faults,297,46,50,342,143,22,81
Pastry,37,13,1,56,100,1,12
Stains,5,0,0,5,0,75,0
Z_Scratch,17,2,2,16,5,0,131
